Row,CondNumber,Lambda_min,Lambda_max,MeanAbsCorr,MedianAbsCorr,EdgeDensity_gt_0p3
Naive,Inf,-4.31578341720419e-15,65.8854584146168,0.197309382266078,0.155522042336686,0.230720499013182
Tyler,Inf,-8.64446213958175e-15,65.6130366500048,0.210274395897523,0.17216764558143,0.255695523988207
POET,1331.22340000593,0.049585284434751,66.0090909354902,0.198158334722616,0.15641706463116,0.23286469627933
GLASD-Huber,1334.89349517021,0.0494305501008219,65.9845197922723,0.198065606551778,0.15609850390113,0.232572305743037
